keyword,intent,cluster,primary_cta,geo_city,week,status
how to start a web design agency with no experience uk,info,start-agency,free_module,,1,published
is web design still profitable in 2026 with ai,info,is-it-dead,free_module,,1,published
can ai build websites for clients,info,ai-tools,free_module,,1,published
how much to charge for a website uk,commercial,business-model,free_module,,1,published
how to get your first web design client,info,get-clients,free_module,,1,published
best ai side hustles 2026 uk,commercial,side-hustle,free_module,,1,published
best niche for a web design agency,commercial,niche,free_module,,1,published
how to start an ai agency in 2026 uk,info,start-agency,free_module,,2,published
how to make money with claude ai 2026,info,ai-tools,free_module,,2,planned
website retainer model how it works,info,business-model,free_module,,2,planned
how to sell websites to local businesses uk,info,get-clients,free_module,,2,planned
web design side hustle how much can you make uk,commercial,side-hustle,free_module,,2,planned
one off website vs monthly retainer,commercial,business-model,free_module,,2,planned
cold calling local businesses for web design,info,get-clients,free_module,,2,planned
do you need to code to start a web design agency,info,start-agency,free_module,,3,planned
ai automation agency vs web design agency,commercial,niche,free_module,,3,planned
how to build a web design portfolio with no clients,info,get-clients,free_module,,3,planned
how many clients does a web design agency need,info,business-model,free_module,,3,planned
is an ai agency course worth it,commercial,course-comparison,free_module,,3,planned
how to find businesses with outdated websites,info,get-clients,free_module,,3,planned
is cold outreach legal in the uk gdpr pecr tps,info,get-clients,free_module,,3,planned
best web design agency course uk,commercial,course-comparison,free_module,,4,planned
claude code vs cursor for building client websites,commercial,ai-tools,free_module,,4,planned
how long to start earning from web design,info,side-hustle,free_module,,4,planned
recurring revenue business ideas 2026 uk,commercial,business-model,free_module,,4,planned
how to price monthly website plans for small businesses,info,business-model,free_module,,4,planned
best tools to start a web design agency 2026,commercial,ai-tools,free_module,,4,planned
realistic timeline to replace your salary with an agency,info,side-hustle,free_module,,4,planned
